IP Address      | Identity                                     | Gossip | TPU   | TPU-QUIC | RPC Address           | Version | Feature Set
51.89.25.41     | 7fVcSv1bVwZxVYJj7wRdDFvnj683LxAC9Rdmmb2mmV8S | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
45.152.160.62   | Abyc3HAE5T1aJ1VS4hHgMDSZCvBjQVKJ5AKRoqeRp6NU | 8000   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
199.247.26.89   | E66vsfirPPhVLEnbZXEWDoZTwsjkdAznU6bAmtJD69SV | 8001   | 8003  | 8009     | none                  | 3.0.10  | 3604001754
64.130.55.184   | DDcogTQwicYKpcbU43K3CoqBVV191FES1cXNBG9AwdLu | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
57.129.76.98    | 47ZGZBXjaTnRZqnf5K61m3KJBkf5mJKv5DLpxmSSAXGX | 8000   | 11222 | 11228    | none                  | 3.0.11  | 3604001754
88.211.250.188  | 41s3FFxUMWrwUenGJJQ1srXeCfy3NTzAmjknLKqx7M9G | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
51.38.85.18     | 7NsBUFu3XFHaLbawr1NEZaUxfbAwpeVWWecfhua2tv9h | 8001   | 8004  | 8010     | none                  | 3.0.12  | 3604001754
173.231.41.74   | 9mfKNPEZmzUvKTM18eZN8FQD6rs4RsCFoXPkG1yKxgVx | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
146.59.69.71    | 9WzJHhxQTRVqvtwUSRxkZu4mDpPMFGUVHbcBpv1rYNqy | 8000   | 8003  | 8009     | none                  | 3.0.8   | 3604001754
104.204.141.109 | B5jLyQ2Szj3CS2T9ntkJf1ieRzTsZM5iPSvGPkGj8V54 | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
208.91.104.142  | 8KDyzKRoGHKd8QtnoTkyKg877nfPS3EuoxH4htw5wpwf | 8001   | 8004  | 8010     | none                  | 3.0.6   | 3604001754
141.94.154.193  | 4fpUfTQHLnbjLhrAofdTr6SbKzsdP2iBRd6ciQScHiBm | 8801   | 8804  | 8810     | none                  | 3.0.9   | 3604001754
95.179.139.54   | 7Qg1H7hrFVM79Qqjq8k6SGqstWH3diRoK2pSGBGTzoLc | 8001   | 8006  | 8012     | none                  | 3.0.8   | 3604001754
109.94.96.63    | B3FiAubCHnqnyUrFoNzySXQ4FPzK9KkwbGy88wquUc8i | 8000   | 8003  | 8009     | none                  | 3.0.6   | 3604001754
57.183.6.2      | C8ipg8YMzPu7STEh3VNox795orUx289xBKFLh6Hm3NYA | 38000  | 38003 | 38009    | none                  | 3.0.11  | 3604001754
